#microsat
#name	test.microsat								
id	Locus1	Locus2	Locus2	Locus3	Locus4	Locus4	Locus5	Locus6
T1	5	6	?	20	?	?	?	11
T2	5	6	?	2	?	?	?	12
T3	8	6	4	16	9	9	?	3
T4	12	?	6	11	11	11	?	4
T5	17	?	9	18	7	7	?	5
T6	19	?	5	14	2	2	?	6
T7	20	12	16	10	?	?	?	7
T8	11	8	17	12	?	?	?	11
T9	?	7	19	3	9	9	?	9
T10	8	16	20	7	10	10	?	10
T11	?	9	13	14	16	16	?	11
T12	16	7	11	18	?	?	?	12
T13	10	19	10	9	?	?	?	13
T14	?	20	8	10	20	20	?	14
T15	16	3	9	13	17	17	?	15
T16	3	7	4	11	?	?	?	16
T17	12	?	11	4	?	?	?	17
T18	14	10	3	5	21	12	11	18
T19	4	17	5	19	?	?	12	19
T20	?	5	15	20	?	?	3	20
