virus	lat	long
hOH10_97.2	41.053	-80.706
hWVa01_93.2	40.505	-80.575
NY01_03.4	41.057	-73.794
NY03_03.4	42.934	-76.565
NY04_03.4	42.617	-75.037
NY12_03.4	42.996	-78.17
NY516_92.5	42.137	-75.888
NY771_92.5	41.125	-74.015
PA.R89_89.6	40.803	-75.031
PA11_04.7	40.033	-78.48
PA13_04.7	40.871	-79.93
PA23_04.6	39.924	-78.091
PA28_04.5	40.588	-77.634
PA30_04.2	39.998	-79.029
PA39_04.7	40.326	-79.562
PA62_03.2	40.183	-80.139
rDE01_87.7	39.696	-75.612
rMA01_92.7	42.33	-71.84
rMD03_82.7	39.615	-77.774
rMD06_82.2	39.622	-78.803
rNC01_92.1	35.916	-77.64
rNH01_92.0	42.896	-71.583
rNH02_92.3	43.896	-71.895
rNH03_92.9	42.963	-71.078
rNJ02_94.3	39.088	-74.799
rNJ08_03.4	41.1	-74.665
rNJ10_03.5	39.955	-74.776
rPA04_04.5	41.537	-75.961
rTN02_03.4	36.31	-82.188
rVA01_84.1	38.213	-77.598
rVA04_85.3	37.714	-77.444
rVA05_89.0	36.886	-76.26
rVA06_92.4	37.174	-80.395
rVA07_92.4	37.25	-80.0
rVA08_94.0	37.797	-75.635
rVA14_94.8	38.024	-78.535
rVT01_94.5	43.029	-73.108
rWV01_87.6	39.09	-79.18
WV19_02.6	39.304	-77.842
WV23_02.7	39.433	-78.936
WV26_03.8	39.129	-80.008
WVa02_02.6	37.901	-80.508
WVa03_02.6	37.565	-80.574
WVa04_02.6	37.347	-81.155
WVa08_02.6	38.677	-79.349
WVa14_02.7	39.05	-78.886
WVa22_02.7	39.635	-79.995
