traits	host	state
AZ4030_2005.5	Ap	Arizona
AZ1968_2004.5	Ef	Arizona
AZ7590_2005.5	Ef	Arizona
CA237_2002.5	Ef	California
CA29_2002.5	Ef	California
CA9242_2002.5	Ef	California
CAO120_2002.5	Ef	California
CA0253_2003.5	Ef	California
CA148_2004.5	Ef	California
CA6860_2004.5	Ef	California
CA0100_2005.5	Ef	California
GA31940_2004.5	Ef	Georgia
GA36568_2004.5	Ef	Georgia
IA042_2005.5	Ef	Iowa
IA381_2005.5	Ef	Iowa
IA543_2005.5	Ef	Iowa
MI1251_2003.5	Ef	Michigan
MI1271_2003.5	Ef	Michigan
MI1406_2003.5	Ef	Michigan
MI1586_2003.5	Ef	Michigan
MI1672_2003.5	Ef	Michigan
MI1833_2003.5	Ef	Michigan
MI782_2003.5	Ef	Michigan
MI784_2003.5	Ef	Michigan
MI1209_2005.5	Ef	Michigan
MI1328_2005.5	Ef	Michigan
MI1865_2005.5	Ef	Michigan
MI1905_2005.5	Ef	Michigan
MI399_2005.5	Ef	Michigan
MI596_2005.5	Ef	Michigan
NJ104_2005.5	Ef	NewJersey
NJ1049_2005.5	Ef	NewJersey
NJ1212_2005.5	Ef	NewJersey
NJ511_2005.5	Ef	NewJersey
NJ949_2005.5	Ef	NewJersey
VA1623_2004.5	Ef	Virginia
VA2057_2004.5	Ef	Virginia
WA0355_1999.5	Ef	Washington
WA369_1999.5	Ef	Washington
WA052_2000.5	Ef	Washington
WA173_2000.5	Ef	Washington
WA267_2000.5	Ef	Washington
WA1043_2003.5	Ef	Washington
WA1087_2003.5	Ef	Washington
WA1159_2003.5	Ef	Washington
WA016_2004.5	Ef	Washington
WA1455_2004.5	Ef	Washington
WA1586_2004.5	Ef	Washington
WA1596_2004.5	Ef	Washington
WA1625_2004.5	Ef	Washington
WA50_2004.5	Ef	Washington
WA1770_2005.5	Ef	Washington
WA1833_2005.5	Ef	Washington
WA1858_2005.5	Ef	Washington
WA2017_2005.5	Ef	Washington
CA16461_2002.5	Lbl	California
CA0077_2003.5	Lbl	California
FL701_2003.5	Lb	Florida
FL854_2003.5	Lb	Florida
