traits	species
Orthogeomys_heterodus	Orthogeomys_heterodus_species
Thomomys_bottae_awahnee_a	Thomomys_bottae    
Thomomys_bottae_awahnee_b	Thomomys_bottae
Thomomys_bottae_xerophilus	Thomomys_bottae
Thomomys_bottae_cactophilus	Thomomys_bottae
Thomomys_bottae_albatus	Thomomys_bottae
Thomomys_bottae_ruidosae	Thomomys_bottae
Thomomys_bottae_bottae	Thomomys_bottae
Thomomys_bottae_alpinus	Thomomys_bottae     
Thomomys_bottae_riparius	Thomomys_bottae
Thomomys_bottae_mewa	Thomomys_bottae
Thomomys_bottae_saxatilis	Thomomys_bottae
Thomomys_bottae_laticeps	Thomomys_bottae
Thomomys_talpoides_ocius	Thomomys_talpoides
Thomomys_idahoensis_pygmaeus_a	Thomomys_idahoensis
Thomomys_idahoensis_pygmaeus_b	Thomomys_idahoensis
Thomomys_mazama_mazama	Thomomys_mazama
Thomomys_mazama_nasicus	Thomomys_mazama
Thomomys_monticola_a	Thomomys_monticola
Thomomys_monticola_b	Thomomys_monticola
Thomomys_talpoides_yakimensis	Thomomys_talpoides
Thomomys_talpoides_bridgeri	Thomomys_talpoides
Thomomys_townsendii_townsendii	Thomomys_townsendii
Thomomys_townsendii_relictus	Thomomys_townsendii
Thomomys_umbrinus_chihuahuae	Thomomys_umbrinus
Thomomys_umbrinus_atroavarius	Thomomys_umbrinus
