"ID","Type","Status","Priority","Milestone","Owner","Summary","AllLabels"
"763","Defect","Accepted","Medium","Release1.8.3","rambaut","BEAUti creates a subtree slide operator with size zero when data is invariable","BEAUti, Milestone-Release1.8.3, Priority-Medium, Type-Defect, v1.8.2"
"762","Defect","New","Medium","","","Spurious <coalescentEventsStatistic> block inserted in log when selecting skygrid","Priority-Medium, Type-Defect"
"761","Defect","New","Medium","Release1.6.1","rambaut","Tracer BSP plots missing 10^-1 labels","1.6, Milestone-Release1.6.1, Priority-Medium, Tracer, Type-Defect"
"760","Task","New","High","","rambaut","Export project to Github or another repo host","Priority-High, Type-Task"
"759","Defect","New","Low","","","4 taxa were in the xml file but error messages of ""Tree with fewer than 3 taxa"" by BEAST","Priority-Low, Type-Defect"
"756","Defect","Fixed","Medium","Release1.8.2","mdhall272","FEE with random local clock + codon position partitions + multiple threads","Milestone-Release1.8.2, Priority-Medium, Type-Defect, beast, v1.8.1"
"755","Defect","Invalid","Medium","","","BEAST disappears without error message on running xml BEAUti script","Priority-Medium, Type-Defect"
"754","Defect","Fixed","Critical","Release1.8.2","rambaut","BEAST v1.8.1 is not terminating leaving 'zombie' processes","Milestone-Release1.8.2, Priority-Critical, Type-Defect, beast, v1.8.1"
"753","Defect","Accepted","Low","","mdhall272","Tracer 1.6 has option for categorical data but still won't load non-numerical trace files","Priority-Low, Tracer-1.6, Type-Defect"
"752","Defect","Invalid","Medium","","","i am not able to run beast in Ubuntu server","Priority-Medium, Type-Defect"
"751","Defect","Accepted","Medium","Release1.8.2","mdhall272","Full evaluation error","Milestone-Release1.8.2, Priority-Medium, Type-Defect, beast, v1.8.1"
"750","Defect","Accepted","Medium","Release1.8.2","rambaut","-Infinity value always come out when i try to load xml","Milestone-Release1.8.2, Priority-Medium, Type-Defect, beast, v1.8.1"
"749","Defect","Fixed","Medium","Release1.8.2","rambaut","Multiple partitions with unlinked substitution models can turn on ancestral state reconstruction","Milestone-Release1.8.2, Priority-Medium, Type-Defect, beauti, v1.8.1"
"748","Defect","WontFix","Medium","","","TreeAnnotator: Sum of clade credibility score for tree reported wrongly when burnin is == 0","Priority-Medium, Type-Defect"
