"ID","Type","Status","Priority","Milestone","Owner","Summary","AllLabels"
"763","Defect","Accepted","Medium","Release1.8.3","rambaut","BEAUti creates a subtree slide operator with size zero when data is invariable","BEAUti, Milestone-Release1.8.3, Priority-Medium, Type-Defect, v1.8.2"
"762","Defect","New","Medium","","","Spurious <coalescentEventsStatistic> block inserted in log when selecting skygrid","Priority-Medium, Type-Defect"
"761","Defect","New","Medium","Release1.6.1","rambaut","Tracer BSP plots missing 10^-1 labels","1.6, Milestone-Release1.6.1, Priority-Medium, Tracer, Type-Defect"
"760","Task","New","High","","rambaut","Export project to Github or another repo host","Priority-High, Type-Task"
"759","Defect","New","Low","","","4 taxa were in the xml file but error messages of ""Tree with fewer than 3 taxa"" by BEAST","Priority-Low, Type-Defect"
"753","Defect","Accepted","Low","","mdhall272","Tracer 1.6 has option for categorical data but still won't load non-numerical trace files","Priority-Low, Tracer-1.6, Type-Defect"
"751","Defect","Accepted","Medium","Release1.8.2","mdhall272","Full evaluation error","Milestone-Release1.8.2, Priority-Medium, Type-Defect, beast, v1.8.1"
"750","Defect","Accepted","Medium","Release1.8.2","rambaut","-Infinity value always come out when i try to load xml","Milestone-Release1.8.2, Priority-Medium, Type-Defect, beast, v1.8.1"
"739","Defect","Accepted","Medium","Release1.8.1","mdhall272","Skygrid can reject all moves on popoulation sizes","Milestone-Release1.8.1, Priority-Medium, Type-Defect, beast, v1.8"
"738","Defect","New","Medium","Release1.9","","Beauti not retaining settings when saved file is reopened.","1.8, Milestone-Release1.9, Priority-Medium, Type-Defect, beauti"
"737","Defect","Accepted","Medium","Release1.6.1","mdhall272","Skyride reconstruction broken in Tracer 1.6","1.6, Milestone-Release1.6.1, Priority-Medium, Type-Defect, tracer"
"735","Defect","Accepted","Medium","","mtolkoff","Row vs. Column Major in MatrixParameter Class","Priority-Medium, Type-Defect"
"730","Patch","New","","","","Patch for /trunk/build_coalsim.xml","Type-Patch"
"724","Defect","Accepted","Medium","Release1.9","msuchard","Dollo model does not appear to parse under BEAGLE","Milestone-Release1.9, Priority-Medium, Type-Defect"
"721","Enhancement","Accepted","Low","","alexander.alekseyenko","Create shortcuts for standard types of ascertainment","Priority-Low, Type-Enhancement"
