Tree translation	sample ID	strain	Lat	Lon	
1	JcF5_104.1	S7	43.800	-110.400	
2	Mc285.1_102.9	S1	47.318	-113.599	
3	Mc432.1_102	S1	47.050	-110.630	
4	Mc560.2_103.1	S5	45.560	-110.498	
5	Mc392.3_102.9	S1	46.656	-111.547	
6	YF125_104.1	S8	44.985	-110.492	
7	JcM1_104	S7	43.824	-110.303	
8	Mc101.1_102	S1	48.800	-114.790	
9	Mc442.1_103.1	S1	46.796	-112.673	
10	GcF85_104.1	S1	46.782	-113.043	
11	Brc403.1_103	S4	49.250	-115.417	
12	Mc413.1_102	S1	47.150	-111.170	
13	Mc350.1_103	S2	45.970	-112.212	
14	YF16_92.8	S5	44.985	-110.237	
15	Ac003_103.2	S2	49.358	-114.287	
16	Mc121.1_101.9	S4	47.800	-115.800	
17	Mc362.1_103.1	S6	45.000	-111.400	
18	Mc104.3_101.9	S2	48.060	-115.430	
19	Mc130.3_101.9	S1	47.640	-113.810	
20	Mc412.7_104	S1	47.164	-109.195	
21	GcF60_102	S1	46.950	-113.113	
22	YM133_99.2	S5	45.025	-110.603	
23	YM127_101.8	S6	45.012	-110.584	
24	GcF43_102	S1	46.863	-113.065	
25	Mc285.2_102.9	S1	47.500	-113.620	
26	YF5_92	S5	44.944	-110.670	
27	Mc240.1_101.9	S1	46.050	-114.300	
28	YF53_101.1	S7	44.960	-110.426	
29	Mc104.1_101.9	S2	48.320	-115.100	
30	Mc120.4_101.9	S2	47.970	-114.420	
31	GcF63_102.1	S1	47.014	-113.309	
32	GcM62_102.1	S2	46.853	-113.087	
33	YF17_102.1	S6	44.959	-110.293	
34	GcF41_102	S1	46.953	-113.263	
35	Mc390.2_103	S1	46.230	-111.233	
36	Mc100.5_103	S4	48.700	-115.750	
37	YM51_91.2	S7	45.022	-110.641	
38	YF45_91	S2	45.495	-111.221	
39	Ac326.1_103.1	S4	45.308	-110.894	
40	GcF34_102	S1	46.881	-113.414	
41	Mc130.1_101.9	S1	47.430	-113.580	
42	GcM76_104	S1	46.965	-113.335	
44	YF33_91.2	S2	45.165	-110.780	
45	JcM49_104	S7	43.748	-110.563	
46	Mc391.3_103	S1	46.470	-111.400	
47	Mc393.1_103	S1	45.940	-110.810	
48	Mc391.2_103	S1	46.480	-111.360	
49	Mc202.1_101.9	S3	47.070	-114.930	
50	Mc311.1_103	S1	45.600	-111.400	
51	Brc403.3_103	S1	49.160	-115.450	
52	Mc101.3_101.9	S1	48.520	-115.050	
53	Mc360.2_103	S6	45.313	-111.547	
54	Mc411.1_102.9	S1	47.130	-109.200	
55	GcF70_103	S1	46.892	-113.364	
56	Mc300.1_103	S7	44.540	-112.640	
57	Ac338.3_103	S2	53.700	-116.260	
58	JcF33_104	S7	43.784	-110.326	
59	Mc101.7_102.9	S2	48.609	-114.987	
60	YM8_92.1	S5	44.958	-110.287	
61	Mc421.1_102	S1	47.460	-111.850	
62	Mc320.1_102.9	S7	45.530	-112.100	
63	Bc59_101.1	S2	51.200	-115.584	
64	Mc100.2_101.9	S3	48.600	-115.800	
65	YM29_92.2	S5	44.863	-110.439	
66	Mc130.5_101.9	S1	47.680	-113.760	
67	Mc102.2_101.9	S2	48.620	-114.730	
68	Brc815.4_98.7	S4	49.120	-118.200	
69	YM170_104.2	S8	45.022	-110.641	
70	Mc411.7_104	S1	46.874	-109.258	
71	YF163_104	S7	45.002	-110.571	
72	Ac002_103.2	S1	49.360	-114.280	
73	YF171_104.1	S7	45.004	-110.576	
74	Mc102.4_103.1	S1	48.400	-114.500	
75	Mc301.1_103	S6	45.600	-111.000	
76	YM131_102	S8	44.952	-110.413	
77	Mc120.1_101.9	S2	47.940	-114.590	
78	Mc310.1_103	S6	45.182	-111.220	
79	Mc102.6_103	S2	48.590	-114.800	
80	Mc110.2_103	S1	48.672	-114.731	
81	Mc102.3_101.9	S1	48.490	-114.840	
82	Mc110.1_101.9	S1	48.440	-114.170	
83	Brc403.2_103.1	S2	49.270	-115.417	
84	YM139_100.3	S8	44.933	-110.306	
85	YF124_101.2	S6	45.165	-110.780	
86	Mc124.1_101.9	S1	47.460	-113.620
