# BEAST v1.6.1, Build r3651
# Generated Thu Apr 21 16:27:15 NZST 2011 [seed=1303338739767]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(Human-Chimp)	tmrca(ingroup)	tmrca(HomiCerco)	yule.birthRate	firsthalf.kappa	firsthalf.frequencies1	firsthalf.frequencies2	firsthalf.frequencies3	firsthalf.frequencies4	firsthalf.alpha	secondhalf.kappa	secondhalf.frequencies1	secondhalf.frequencies2	secondhalf.frequencies3	secondhalf.frequencies4	secondhalf.alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	firsthalf.treeLikelihood	secondhalf.treeLikelihood	speciation
0	-115044.02384951977	-105244.73694891014	-9799.28690060963	311.73866128365125	234.08801288042653	234.08801288042653	234.08801288042653	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.033	0.3333333333333333	0.036828090524698834	0.3353365806929938	0.6665551414013084	-4898.876857075953	-4900.410043533676	-1192.5958102949849
200	-8042.73120758769	-529.2089208923177	-7513.522286695372	134.8387475722187	14.831942531008336	49.2829091753975	49.2829091753975	0.8355576961670699	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.051071190400354814	0.3333333333333333	0.047034567450707054	0.3449313165932176	-0.001191519836679024	-3777.189177932199	-3736.3331087631727	-369.34460401832456
400	-6899.032151751925	-106.01870155660497	-6793.01345019532	66.95747585076003	4.388407254355141	23.63516493984611	23.63516493984611	0.33202902138442253	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.04910351779512609	0.6180119601551278	0.03304330518939004	0.5885135006078426	0.4817054489015241	-3409.462307924227	-3383.5511422710933	-96.11230418858412
600	-6510.32553051725	-60.484045937447796	-6449.8414845798015	46.23959158109557	4.6898396370321525	16.83057612822199	16.83057612822199	0.16950337333650292	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.027866399023822253	0.8824429894103643	0.013917674539959521	0.7580337835683962	-0.2552536044876622	-3247.833488031082	-3202.0079965487193	-51.54577748390743
800	-6344.943908832769	-58.18362293431432	-6286.760285898455	49.34989040820955	4.910234302325893	15.08701941413213	15.08701941413213	0.16410656504799834	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.024347807786129622	0.87888574338689	0.01423734171960543	0.8617581234784156	-0.3681230508737095	-3169.0739613588553	-3117.6863245395994	-50.3138880205742
1000	-6258.221473910722	-49.66835413584171	-6208.5531197748805	39.32211451974723	5.125467275019115	19.84250753815886	19.84250753815886	0.10217987093308435	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.01621344644719687	0.8638948155044408	0.011458153385260555	0.8070738320289841	-0.028850150687197762	-3134.376237815613	-3074.1768819592676	-42.68915558327821
1200	-6183.887712909837	-49.04991132909937	-6134.8378015807375	45.05862268125492	5.81405692114455	23.334368803543065	23.334368803543065	0.07147927738259076	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	2.539389286009755	0.24908080530058896	0.2499999999	0.2500000001	0.25091919469941104	0.5	0.012905205269314133	0.7578397861673499	0.010018522717292616	0.6707232682174838	-0.41864980914924155	-3121.607771839878	-3013.230029740859	-43.63921451123159
1400	-6169.089436920856	-50.66272126673153	-6118.426715654125	47.20996302805043	5.509567733897677	28.36002745585061	28.36002745585061	0.06192406915342815	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	3.1422717584167423	0.24908080530058896	0.2499999999	0.2500000001	0.25091919469941104	0.5	0.010618283769590633	0.7331868594334524	0.008538861975101819	0.6545881850407291	-0.37207662941003267	-3121.2896008602124	-2997.1371147939126	-44.695822870068234
1600	-6167.399063325327	-50.65841667649337	-6116.740646648834	44.6346868167383	5.071737400502038	26.79100595060464	26.79100595060464	0.06438132493986815	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6112378135325598	3.1422717584167423	0.24908080530058896	0.2499999999	0.2500000001	0.25091919469941104	0.5	0.010966793158578514	0.6541354645496976	0.008776830898668582	0.47068054896617517	-0.43536602520564166	-3123.776163435129	-2992.964483213705	-43.68637717249643
1800	-6160.875635677248	-50.024789213519824	-6110.850846463729	46.252468590642884	5.502470837036976	27.421531786123865	27.421531786123865	0.06578299015655646	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6112378135325598	3.1422717584167423	0.2583558718037042	0.24072493339688475	0.2500000001	0.25091919469941104	0.5	0.010875640311510879	0.6620367581856322	0.008582142793527377	0.49779801672910534	-0.5203050465930106	-3117.448874319933	-2993.4019721437953	-44.25731819987113
2000	-6161.319557440626	-51.8037764859761	-6109.51578095465	31.958388962252368	4.53602006290747	25.299750380061766	16.881619752432737	0.03907621858793674	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6112378135325598	3.1422717584167423	0.2583558718037042	0.24072493339688475	0.2500000001	0.25091919469941104	0.5	0.013479377673500867	0.6735261835416502	0.012285443666753753	0.5557978603484934	-0.37248493648712305	-3117.629584928515	-2991.8861960261347	-42.21043321983783
2200	-6116.590437329409	-49.97195939595258	-6066.618477933456	38.78085665364561	6.311280701058327	35.010107820062	20.215627148112098	0.0750888112047842	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6112378135325598	3.1422717584167423	0.2583558718037042	0.24072493339688475	0.2500000001	0.25091919469941104	0.5192523608429511	0.008094842878212277	0.4234851342617645	0.008236991447467102	0.38659152209826214	0.04291137523814971	-3099.7286211814117	-2966.8898567520446	-45.221422440370134
2400	-6105.582432804791	-50.165814174010336	-6055.416618630781	35.73240789567259	5.561404703100998	33.977425888206	16.74039206256296	0.09709864814889711	2.0	0.2470575543258593	0.2499999999	0.2529424458741407	0.2499999999	0.6112378135325598	3.1422717584167423	0.2583558718037042	0.24072493339688475	0.2500000001	0.25091919469941104	0.5192523608429511	0.009013309467304415	0.4298299589183649	0.009032013669656527	0.3748340875513704	-0.11780784414783806	-3099.290242840879	-2956.126375789903	-45.20530242523697
