# BEAST v1.6.2, Build r4178
# Generated Fri Feb 10 10:47:11 NZDT 2012 [seed=1303338739767]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(Human-Chimp)	tmrca(ingroup)	tmrca(HomiCerco)	yule.birthRate	firsthalf.kappa	firsthalf.frequencies1	firsthalf.frequencies2	firsthalf.frequencies3	firsthalf.frequencies4	firsthalf.alpha	secondhalf.kappa	secondhalf.frequencies1	secondhalf.frequencies2	secondhalf.frequencies3	secondhalf.frequencies4	secondhalf.alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	firsthalf.treeLikelihood	secondhalf.treeLikelihood	speciation
0	-203318.1959529649	-193518.90905235527	-9799.28690060963	311.73866128365125	234.08801288042653	234.08801288042653	234.08801288042653	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.033	0.3333333333333333	0.036828090524698834	0.3353365806929938	0.6665551414013084	-4898.876857075953	-4900.410043533676	-1192.5958102949849
200	-13980.889845463451	-6524.992806524671	-7455.8970389387805	134.8387475722187	8.592862692873618	79.15600770059807	79.15600770059807	0.8355576961670699	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.03900019215017245	0.3333333333333333	0.03514230876671404	0.3795830018001728	0.06943540468164204	-3739.85552788381	-3716.0415110549707	-423.09287121504326
400	-6925.361710543696	-105.85817712462907	-6819.503533419067	53.99855770426114	4.322321382831998	26.034199457856065	26.034199457856065	0.33202902138442253	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.05693014277822742	0.6180119601551278	0.03955473968719943	0.8085167950485969	0.2548719374728622	-3424.7779163497676	-3394.725617069299	-87.01530480590446
600	-6345.4415812517955	-71.88068716117098	-6273.560894090624	36.13669600611348	5.814597519808607	21.640797604157765	21.640797604157765	0.23631431140016576	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.03219727934069907	0.8257983384659732	0.01726279645215389	1.0750897133601163	-0.23675149331043763	-3180.258527401784	-3093.30236668884	-55.11918161278542
800	-6278.5493560100185	-61.1092172257988	-6217.44013878422	33.81204237875158	5.183893310535659	22.50242586200467	22.50242586200467	0.19847697402473663	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.023591393808437673	0.8010010267435811	0.013497486258296951	0.9559135280313217	-0.15733540132396043	-3147.1149320098225	-3070.3252067743974	-49.80500680623634
1000	-6240.693320691707	-57.64057314341473	-6183.052747548292	33.647757237775906	4.800224044610611	24.113011544661536	22.97393503243589	0.15903273012862895	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5861613616190036	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.019854422848508513	0.8858093008422961	0.011826566909677975	1.032822403774837	-0.14426871077870337	-3128.2442570201256	-3054.8084905281667	-46.9149114347322
1200	-6230.774279500492	-52.79719739938567	-6177.977082101107	31.690806253360634	5.013021606653036	30.524660253306934	23.83310068501869	0.1329131291557762	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5861613616190036	2.0	0.24908080530058896	0.2499999999	0.2500000001	0.25091919469941104	0.5	0.019726155686676697	0.8858093008422961	0.012313459951342741	1.1077793122377353	-0.2332430147625551	-3130.57243151158	-3047.404650589527	-45.052115551738886
1400	-6212.198016424528	-52.4527197150526	-6159.745296709475	29.285113636142096	5.376416551068838	29.089677383898586	23.447735442290803	0.139546345564705	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5861613616190036	2.0	0.24908080530058896	0.2499999999	0.2500000001	0.25091919469941104	0.5	0.019726155686676697	0.9216589596979394	0.011855347718539308	1.1100242952899173	-0.16992963259800972	-3119.476642163533	-3040.268654545942	-45.21634743242363
1600	-6192.550515186351	-50.77036201703242	-6141.7801531693185	30.713752944337745	5.025536677403787	30.369494917398587	23.888237176435933	0.10797724147404957	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5861613616190036	2.0	0.24908080530058896	0.2461853181135593	0.2500000001	0.2547338764858518	0.5	0.01665650551352811	0.8222867117725857	0.010053166517197263	0.990454633673599	-0.11423273078738244	-3108.675105251158	-3033.105047918161	-43.295672005512216
1800	-6189.38201744975	-51.77002753287608	-6137.611989916873	34.936396627064795	4.731475843334073	30.17232651505633	23.770721866765683	0.0945416648462284	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5861613616190036	2.0	0.2583558718037042	0.23284822343179126	0.2500000001	0.2587959046645046	0.5604347908533129	0.01665650551352811	0.8222867117725857	0.00946606008912098	0.9550730037567083	-0.08670807181765883	-3106.3280924233995	-3031.2838974934743	-42.896032916139575
2000	-6182.387460616055	-51.5141945142765	-6130.873266101778	35.13327828632475	4.731475843334073	34.86354596076367	23.536721397352483	0.06939446698431226	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6367501959469701	2.0	0.2583558718037042	0.23284822343179126	0.2500000001	0.2587959046645046	0.5604347908533129	0.016458554393245294	0.836557221195731	0.010195983584190289	0.9483185788273228	-0.03341513211523286	-3104.743960942986	-3026.129305158792	-42.273271166687316
2200	-6179.863318887672	-51.67820306852387	-6128.185115819148	36.788896705429195	4.961082963452152	35.24767539083933	23.673093569599803	0.08541562808996912	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6367501959469701	2.0	0.2583558718037042	0.23284822343179126	0.2500000001	0.2587959046645046	0.5604347908533129	0.01517008657822263	0.7416920884182657	0.009530369537584087	0.830261670576906	3.215124274741412E-4	-3103.34931916986	-3024.8357966492886	-43.99700347256643
2400	-6187.761292153569	-50.39253441230212	-6137.3687577412675	39.84868428172755	5.638440873200649	36.292759415537944	24.108679560187394	0.08325931546914735	2.0	0.2470575543258593	0.2499999999	0.2529424458741407	0.2499999999	0.6367501959469701	2.0	0.2583558718037042	0.23284822343179126	0.2500000001	0.2587959046645046	0.5604347908533129	0.012425270968969856	0.777194893322361	0.007809635730562796	0.8825986830540947	-0.08300505711669255	-3111.347436638091	-3026.021321103176	-44.692186749816244
2600	-6181.462670207489	-51.89409189135735	-6129.568578316132	43.1045881870453	6.97877145225019	38.65696054510332	23.98222667908408	0.0714223799491178	2.0	0.2470575543258593	0.2499999999	0.2529424458741407	0.2499999999	0.6367501959469701	2.0	0.2583558718037042	0.23284822343179126	0.2500000001	0.2587959046645046	0.5604347908533129	0.01195495124326467	0.7344991302772336	0.008092714625272134	0.7610402545370707	-0.3523369864738263	-3111.8920717499354	-3017.6765065661957	-44.69028512260307
2800	-6174.656723350105	-49.32592676443728	-6125.3307965856675	42.87970792743109	6.458548464341585	36.54931740352062	24.18968960452811	0.0534114198763824	2.0	0.2470575543258593	0.2499999999	0.2529424458741407	0.2499999999	0.6367501959469701	2.0	0.2583558718037042	0.23284822343179126	0.2500000001	0.2587959046645046	0.5604347908533129	0.01184220941808536	0.6877401280514813	0.008037782584991314	0.7542749728055607	-0.21248865461993635	-3104.292607264425	-3021.038189321242	-43.6865182152808
3000	-6177.299783337643	-51.98169766705688	-6125.318085670586	40.70232511416976	6.220598929294559	39.800797673485974	22.866909834837553	0.038452897108368626	2.0	0.2470575543258593	0.2499999999	0.2529424458741407	0.2499999999	0.6367501959469701	2.0	0.2583558718037042	0.23284822343179126	0.2500000001	0.2587959046645046	0.5604347908533129	0.01217839096997518	0.6877401280514813	0.008497911867859576	0.7145945420054217	-0.057909748407157645	-3102.836540223	-3022.4815454475856	-44.169672378344984
3200	-6172.043585396978	-50.05934979932736	-6121.984235597651	37.473008303839826	6.164645170098	35.19956688542078	23.53382589669735	0.0321203404361737	2.0	0.2470575543258593	0.2499999999	0.2529424458741407	0.2499999999	0.6367501959469701	2.0	0.25894701551427907	0.23284822343179126	0.24940885638942512	0.2587959046645046	0.5604347908533129	0.011112121839380665	0.6905393394526352	0.008205985049557923	0.7383660675053901	-0.10742563648195558	-3101.821175267176	-3020.1630603304748	-44.41518864314627
3400	-6162.501075444956	-49.838999044304096	-6112.662076400652	39.64634754879707	5.831831400725975	36.62787979343019	23.495276126185416	0.03802224397825956	2.0	0.2470575543258593	0.2499999999	0.2529424458741407	0.2499999999	0.6367501959469701	2.0	0.25894701551427907	0.23284822343179126	0.24940885638942512	0.2587959046645046	0.5604347908533129	0.011112121839380665	0.7211512018243623	0.008417198962302093	0.741669600564987	-0.29834025669140535	-3100.7234839464472	-3011.938592454205	-44.025801221100714
3600	-6161.6509740485735	-49.6981868624613	-6111.952787186112	39.706573140846544	5.831831400725975	34.63345070711513	23.495276126185416	0.038922867187162376	2.0	0.2470575543258593	0.2499999999	0.2529424458741407	0.2499999999	0.6367501959469701	2.0	0.25894701551427907	0.23284822343179126	0.24940885638942512	0.2587959046645046	0.5604347908533129	0.010391569769212195	0.6760290382657558	0.007990659501889796	0.7528081094423883	-0.2262754724739906	-3097.697898240154	-3014.254888945958	-44.02035552993374
3800	-6159.1159531117455	-51.06647395426155	-6108.049479157484	38.51046616853587	5.987519486552405	38.24908706100009	24.950337528949774	0.040831110964241794	2.0	0.2470575543258593	0.2499999999	0.2529424458741407	0.2499999999	0.6367501959469701	2.0	0.25894701551427907	0.23284822343179126	0.24940885638942512	0.2587959046645046	0.5604347908533129	0.010391569769212195	0.6735647707940137	0.007657169158721758	0.8125697394052519	-0.22384436773487115	-3097.389883882678	-3010.6595952748057	-44.15549479301703
4000	-6167.735110227487	-50.80843813623375	-6116.926672091253	36.84345581093444	5.7283365164802795	36.593391073825025	24.847959899006504	0.07172437247991555	2.0	0.2470575543258593	0.2499999999	0.2529424458741407	0.2499999999	0.6367501959469701	2.0	0.25894701551427907	0.23284822343179126	0.24940885638942512	0.2587959046645046	0.5604347908533129	0.01012380779078357	0.6725538293476295	0.007954435667869231	0.7506743321394405	-0.25456588220974985	-3103.932615472214	-3012.9940566190385	-44.12141208641856
4200	-6155.284952442834	-49.1915150715612	-6106.093437371273	37.064974758049544	5.559408231677322	35.081815515423266	23.861702927872052	0.06802667353595859	2.0	0.2470575543258593	0.2522412959633555	0.25070114981078523	0.2499999999	0.6367501959469701	2.0	0.25894701551427907	0.23284822343179126	0.24940885638942512	0.2587959046645046	0.6054238109707825	0.011248731852707925	0.7351317061118827	0.008682846251973943	0.7951658648591274	-0.3428052959765051	-3091.762130098976	-3014.3313072722967	-43.4759350957099
4400	-6165.671397839567	-50.225956371345426	-6115.445441468222	36.66653870338294	5.576443826234099	34.86084414374274	24.628916493710832	0.04640878269735978	2.0	0.2470575543258593	0.2522412959633555	0.25070114981078523	0.2499999999	0.6367501959469701	2.0	0.25894701551427907	0.23284822343179126	0.24940885638942512	0.2587959046645046	0.6054238109707825	0.01089832343429114	0.8698490837288435	0.007542285755286478	0.9384212400523785	-0.4075785776965754	-3096.8307934242134	-3018.614648044009	-43.3828470587955
4600	-6151.825425352652	-50.4280145714202	-6101.397410781232	36.22888407505639	5.216817930753174	34.06873664986034	24.423002830285455	0.058030155226549134	2.0	0.2470575543258593	0.25273435994287513	0.25070114981078523	0.24950693592048034	0.6713306081366819	2.1745902133439716	0.25894701551427907	0.23284822343179126	0.24940885638942512	0.2587959046645046	0.6054238109707825	0.01164320262737488	0.8698490837288435	0.007584408375673393	0.6693188355671746	-0.4601031736820153	-3096.0439231712753	-3005.353487609956	-43.080667360710265
4800	-6153.293804731947	-51.281049776159	-6102.012754955787	37.41158736994561	5.216103177555856	33.16011989669944	24.4919260312912	0.07689189045348688	2.0	0.2470575543258593	0.25273435994287513	0.25070114981078523	0.24950693592048034	0.6874567420392188	2.1745902133439716	0.25894701551427907	0.23284822343179126	0.24940885638942512	0.2587959046645046	0.6054238109707825	0.012352393170998894	0.8294571441238248	0.008520098063874064	0.6819192021007802	-0.44855567280316144	-3096.403463943565	-3005.609291012223	-43.92651858330274
5000	-6155.164746087483	-50.59970453192019	-6104.565041555563	42.033664417402875	6.52703541472834	34.19998721707598	24.4919260312912	0.06343545754733697	2.0	0.2470575543258593	0.25273435994287513	0.25070114981078523	0.24950693592048034	0.5718470468090247	2.1745902133439716	0.25894701551427907	0.23284822343179126	0.24940885638942512	0.2587959046645046	0.6054238109707825	0.012352393170998894	0.7678435266713995	0.00856215595255505	0.6704392465074127	-0.3555676966008254	-3091.2983115914453	-3013.2667299641175	-44.10346999114151
5200	-6149.694491478852	-49.82238041688702	-6099.8721110619645	38.804661715726716	6.372546618690557	36.655714468520685	23.493758866074213	0.04605896045982289	2.0	0.2470575543258593	0.25273435994287513	0.25070114981078523	0.24950693592048034	0.5718470468090247	2.1745902133439716	0.25894701551427907	0.23284822343179126	0.24940885638942512	0.2587959046645046	0.6054238109707825	0.01200879024369222	0.7686904414221997	0.008505038769638802	0.6405867343497001	-0.31266542756763077	-3090.150392520226	-3009.721718541739	-43.57297809158304
5400	-6147.831638214213	-49.19693784211979	-6098.634700372093	37.21942515549652	6.2968909161424085	33.762487896588226	23.559179842716123	0.06465489349324519	2.0	0.2470575543258593	0.25273435994287513	0.25070114981078523	0.24950693592048034	0.5718470468090247	2.1745902133439716	0.25894701551427907	0.23284822343179126	0.24940885638942512	0.2587959046645046	0.6054238109707825	0.010851442597111223	0.6438167658667404	0.008520921745560042	0.65686674614016	-0.29610992418693094	-3092.6368863539556	-3005.997814018138	-43.54736542672333
5600	-6146.670128345411	-50.846741889873044	-6095.823386455539	37.814568342770436	5.306176073673065	36.53932661079287	24.42122902247872	0.03952877783760914	2.0	0.23869793000299433	0.2610939842657401	0.25070114981078523	0.24950693592048034	0.5718470468090247	2.1745902133439716	0.25894701551427907	0.23284822343179126	0.24940885638942512	0.2587959046645046	0.6054238109707825	0.011979698629612907	0.8282762189456833	0.00838315505442936	0.67423186651894	-0.2959050695264639	-3088.8916252263116	-3006.9317612292275	-43.891073309306876
5800	-6146.826102532325	-50.37669927413688	-6096.449403258189	37.21849391078522	5.380836278919467	36.9254763113278	24.456819314981562	0.0446699329185437	2.0	0.23869793000299433	0.2610939842657401	0.25070114981078523	0.24950693592048034	0.5718470468090247	2.1745902133439716	0.25894701551427907	0.23284822343179126	0.24940885638942512	0.2587959046645046	0.6054238109707825	0.011733755737745327	0.8154616746300576	0.008159057373140315	0.6713167262870442	-0.22124463232450087	-3091.3659090667925	-3005.0834941913963	-43.59303018667676
6000	-6141.2741162151315	-50.945010590194066	-6090.329105624937	36.45065167874997	5.93391956373162	36.15097956185607	23.07798492578466	0.06857936769807901	2.0	0.23869793000299433	0.2610939842657401	0.25070114981078523	0.24950693592048034	0.5718470468090247	2.360495916944433	0.25894701551427907	0.23284822343179126	0.24940885638942512	0.2587959046645046	0.6054238109707825	0.012604069784981648	0.8258456342356515	0.008329445234170191	0.6252079682222966	-0.1920753446143581	-3088.2743970396427	-3002.0547085852945	-43.53285907860029
6200	-6120.489108266094	-50.95476018883882	-6069.534348077255	36.45065167874997	5.648204370900775	36.32438639070058	23.07798492578466	0.06360933739465877	2.0	0.23869793000299433	0.2610939842657401	0.25070114981078523	0.24950693592048034	0.5718470468090247	3.009352400082221	0.25894701551427907	0.23284822343179126	0.24940885638942512	0.2587959046645046	0.6054238109707825	0.010934911835987495	0.7232445232841168	0.008061001340496489	0.5570144865607045	-0.13453107259520575	-3089.337851661961	-2980.1964964152944	-43.37183390817696
6400	-6106.257484130275	-49.018364121140806	-6057.239120009134	36.42738935362397	6.267080041918563	33.42554827771976	23.676725589186596	0.05909256519188092	2.0	0.23488820994311813	0.2610939842657401	0.25070114981078523	0.2533166559803566	0.5718470468090247	3.009352400082221	0.25894701551427907	0.2254269867988954	0.24940885638942512	0.2662171412974005	0.6054238109707825	0.011294653075556146	0.7034312874649167	0.009177957647879844	0.5686710159749682	-0.16405670527720018	-3094.471076457088	-2962.768043552046	-43.090945284447876
6600	-6089.673398488263	-48.60309472023589	-6041.070303768027	33.22835002473456	6.023565015069461	32.34853875391674	23.573342806247485	0.04702907169056116	2.0	0.23488820994311813	0.2610939842657401	0.25070114981078523	0.2533166559803566	0.5718470468090247	3.6232113513355366	0.25894701551427907	0.2254269867988954	0.24940885638942512	0.2662171412974005	0.6054238109707825	0.011661270587771347	0.6193465329907494	0.009441877341621939	0.49197406992146403	-0.15578312932325084	-3091.5652232672815	-2949.505080500745	-42.705674114594984
6800	-6090.807325553483	-49.76371981446439	-6041.043605739018	33.22835002473456	5.932213533782479	32.13672960250157	23.36303365321473	0.04307893805500006	2.0	0.23488820994311813	0.2610939842657401	0.25070114981078523	0.2533166559803566	0.5718470468090247	3.6232113513355366	0.25894701551427907	0.2254269867988954	0.24940885638942512	0.2662171412974005	0.6054238109707825	0.012224710909395928	0.7804047249337499	0.00932500322613047	0.6230897036589703	-0.11933037851118532	-3092.4609313095216	-2948.5826744294964	-42.927665710948006
