# BEAST v1.6.1, Build r3651
# Generated Thu Apr 21 17:38:40 NZST 2011 [seed=1303362947982]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	skyline
0	-7314.102459871789	-134.77933044181353	-7179.323129429975	202.53444250484782	80.0	80.0	80.0	80.0	80.0	4.0	4.0	4.0	4.0	4.0	2.0	1.0	1.0	1.0	4.0E-4	-1741.5941666792592	-1657.6316466858518	-3780.0973160648637	-107.00383723446984
1000	-4762.360543849422	-143.64623536562578	-4618.714308483796	64.74418476540504	275.69614762560445	171.30406062758124	46.9944341094241	87.95047544904794	53.14276572622482	2.0	5.0	1.0	8.0	4.0	2.0	0.8011829235009871	0.5749562496320122	1.6238608268670005	4.0230498934917304E-4	-1278.8351137665202	-1227.511513608634	-2112.367681108642	-113.70060563448571
2000	-4607.538640493298	-136.24528942018685	-4471.293351073111	56.37095921148331	451.09426605346187	262.39144900601	59.04683489137548	43.81666064503691	34.64130678851613	1.0	1.0	6.0	5.0	7.0	2.0	0.552359725756879	0.6123708780270477	1.8352693962160729	4.6301972970562487E-4	-1258.690532317861	-1204.0422541587052	-2008.5605645965447	-106.38902026957342
3000	-4549.763087231275	-127.36728727054472	-4422.39579996073	37.38382353115532	1186.3646236472466	84.46506992850567	101.80288705064666	39.89323196691081	22.54331792693161	1.0	1.0	7.0	3.0	8.0	2.5618472017794356	0.6041728303298226	0.6098949136985196	1.7859322559716573	6.599541627126677E-4	-1243.0267334856503	-1199.1210879456744	-1980.2479785294056	-96.14704990929168
4000	-4520.816368161748	-114.56029577954126	-4406.256072382207	31.873534231281845	453.4998728126005	49.4790218416398	52.420854128758094	23.02550996594777	18.032920837566348	1.0	3.0	1.0	11.0	4.0	3.0798355002272357	0.6774026383895106	0.5398342168943744	1.7827631447161143	8.537148038741839E-4	-1243.1454546543669	-1197.9165434077036	-1965.1940743201365	-86.66592573977398
5000	-4515.298194508626	-108.1906420151376	-4407.107552493489	31.13034967082452	198.1456320154125	20.534119517935135	16.82931761315773	14.798258832255705	27.625824834932008	2.0	3.0	2.0	8.0	5.0	3.0798355002272357	0.5966187163048603	0.597245438031606	1.806135845663533	9.52262426511169E-4	-1243.689353752809	-1196.5299432379318	-1966.8882555027478	-83.13161587496867
6000	-4513.010027914776	-103.95983763063028	-4409.050190284146	23.54669510129038	188.9920113564431	19.277402884737214	13.041881631287191	16.446235226296974	16.72944744663184	1.0	6.0	1.0	8.0	4.0	3.0798355002272357	0.6641429080562602	0.46167938871243747	1.8741777032313016	0.0011415185432697697	-1242.6873134345713	-1197.5476329528858	-1968.8152438966895	-79.82049244793511
7000	-4495.003562272443	-100.30913791255266	-4394.69442435989	23.577722191651144	648.2410922361919	15.596426163832845	14.759282930027512	10.483867498332163	6.697729002395642	1.0	6.0	3.0	6.0	4.0	3.926730707282092	0.654448985951757	0.5820639753233661	1.7634870387248762	0.0012611495000745376	-1241.134773203361	-1201.552185247613	-1952.0074659089157	-74.69911286705212
8000	-4494.542586150008	-100.3917661035975	-4394.15082004641	24.496042619809483	323.9148901012087	5.136644936594994	8.387864800109229	12.12433295517046	3.9464016782483045	3.0	4.0	9.0	3.0	1.0	3.926730707282092	0.5703983994170019	0.5981318179957374	1.83146978258726	0.0012436540329431628	-1240.2052035105726	-1197.9598904514355	-1955.985726084402	-76.59946468165657
9000	-4489.577026267636	-105.90621441319848	-4383.6708118544375	26.515805636033804	426.25296391022016	4.041613456884585	5.294976704367325	6.596287749073488	3.751279751855742	3.0	3.0	5.0	5.0	4.0	5.13541756757398	0.6675920724274976	0.5307461826136379	1.8016617449588639	0.0010555044878574908	-1237.9484565815058	-1196.6479167221473	-1949.0744385507837	-82.80443607962815
10000	-4492.065078456648	-101.58586262181142	-4390.479215834836	23.314463234791855	456.6711134309407	5.010984615099198	10.807162035293446	7.242703152877915	26.547257902219428	4.0	5.0	4.0	4.0	3.0	5.13541756757398	0.5246642883403447	0.5307461826136379	1.944589529046017	0.0012706813182268165	-1237.5148871102892	-1195.1607478223527	-1957.8035809021942	-73.95512891500738
11000	-4488.983929054699	-106.95170218417445	-4382.032226870524	26.904978842004798	403.53935789121783	4.520200503279336	9.185227865986985	15.443510404737642	25.36554308251737	4.0	6.0	3.0	5.0	2.0	5.040522683271238	0.5334599185795998	0.6453174563834282	1.8212226250369714	9.94888423103901E-4	-1236.0934573960474	-1198.7014435945948	-1947.2373258798812	-80.23914260333348
12000	-4487.245215779923	-106.50278931918112	-4380.742426460742	22.29372286067384	248.30371611843884	13.086849691677646	17.911781117358515	29.326905355062898	14.726752467668238	3.0	7.0	5.0	2.0	3.0	5.040522683271238	0.6592642411749553	0.5444933761282793	1.7962423826967648	0.0011331620815317651	-1235.5426291218728	-1195.4048885825457	-1949.794908756323	-80.19545245620989
13000	-4486.871365455268	-109.1369280306577	-4377.7344374246095	29.572204929919717	283.640733836356	20.166775868065717	32.52868242708332	23.45047149737043	8.122880175087149	3.0	8.0	1.0	7.0	1.0	5.699909163555167	0.6360969691147403	0.5444933761282793	1.8194096547569798	0.0010355237669331526	-1237.4516587537332	-1197.042185301156	-1943.2405933697196	-82.39109950188436
